N54	t2	{GALGA,MELGA,ANAPL,TINMA,STRCA,CHLUN,TAUER,CUCCA,TAEGU,GEOFO,CORBR,MANVI,ACACH,NESNO,MELUN,FALPE,CARCR,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,HALLE,HALAL,CATAU,TYTAL,CHAPE,CALAN,CAPCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR}|{PODCR}#{PTEGU,MESUN,COLLI}|{PHORU}	0	1.63495	1957.02
N54	t3	{PHORU}|{GALGA,MELGA,ANAPL,TINMA,STRCA,CHLUN,TAUER,CUCCA,TAEGU,GEOFO,CORBR,MANVI,ACACH,NESNO,MELUN,FALPE,CARCR,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,HALLE,HALAL,CATAU,TYTAL,CHAPE,CALAN,CAPCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR}#{PTEGU,MESUN,COLLI}|{PODCR}	0	1.72463	1957.02
N57	t1	{PTEGU,MESUN,COLLI}|{PHORU,PODCR}#{CHLUN,TAUER,CUCCA,TAEGU,GEOFO,CORBR,MANVI,ACACH,NESNO,MELUN,FALPE,CARCR,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,HALLE,HALAL,CATAU,TYTAL,CHAPE,CALAN,CAPCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR}|{GALGA,MELGA,ANAPL,TINMA,STRCA}	1	568.48	1414.72
N57	t2	{GALGA,MELGA,ANAPL,TINMA,STRCA}|{PHORU,PODCR}#{CHLUN,TAUER,CUCCA,TAEGU,GEOFO,CORBR,MANVI,ACACH,NESNO,MELUN,FALPE,CARCR,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,HALLE,HALAL,CATAU,TYTAL,CHAPE,CALAN,CAPCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR}|{PTEGU,MESUN,COLLI}	8.66883e-08	438.459	1414.72
N57	t3	{PTEGU,MESUN,COLLI}|{GALGA,MELGA,ANAPL,TINMA,STRCA}#{CHLUN,TAUER,CUCCA,TAEGU,GEOFO,CORBR,MANVI,ACACH,NESNO,MELUN,FALPE,CARCR,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,HALLE,HALAL,CATAU,TYTAL,CHAPE,CALAN,CAPCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR}|{PHORU,PODCR}	5.07887e-08	407.78	1414.72
N52	t1	{CHLUN}|{TAUER}#{CUCCA}|{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,TAEGU,GEOFO,CORBR,MANVI,ACACH,NESNO,MELUN,FALPE,CARCR,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,HALLE,HALAL,CATAU,TYTAL,CHAPE,CALAN,CAPCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR}	0.999883	538.097	1400.89
N52	t2	{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,TAEGU,GEOFO,CORBR,MANVI,ACACH,NESNO,MELUN,FALPE,CARCR,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,HALLE,HALAL,CATAU,TYTAL,CHAPE,CALAN,CAPCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR}|{TAUER}#{CUCCA}|{CHLUN}	5.34814e-05	427.478	1400.89
N52	t3	{CHLUN}|{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,TAEGU,GEOFO,CORBR,MANVI,ACACH,NESNO,MELUN,FALPE,CARCR,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,HALLE,HALAL,CATAU,TYTAL,CHAPE,CALAN,CAPCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR}#{CUCCA}|{TAUER}	6.31341e-05	435.319	1400.89
N53	t1	{CHLUN,TAUER}|{CUCCA}#{TAEGU,GEOFO,CORBR,MANVI,ACACH,NESNO,MELUN,FALPE,CARCR,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,HALLE,HALAL,CATAU,TYTAL,CHAPE,CALAN,CAPCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR}|{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR}	1	636.48	1490.13
N53	t2	{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR}|{CUCCA}#{TAEGU,GEOFO,CORBR,MANVI,ACACH,NESNO,MELUN,FALPE,CARCR,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,HALLE,HALAL,CATAU,TYTAL,CHAPE,CALAN,CAPCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR}|{CHLUN,TAUER}	0	418.164	1490.13
N53	t3	{CHLUN,TAUER}|{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR}#{TAEGU,GEOFO,CORBR,MANVI,ACACH,NESNO,MELUN,FALPE,CARCR,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,HALLE,HALAL,CATAU,TYTAL,CHAPE,CALAN,CAPCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR}|{CUCCA}	0	435.485	1490.13
N76	t1	{TAEGU}|{GEOFO}#{CORBR}|{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,CARCR,FALPE,NESNO,MELUN,ACACH,MANVI}	1	1979.64	1987.26
N76	t2	{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,CARCR,FALPE,NESNO,MELUN,ACACH,MANVI}|{GEOFO}#{CORBR}|{TAEGU}	0	3.60761	1987.26
