AALA__ref	AALA__ref
BEG_Begonia_fuchsioides_root_RNA__03	BEG_Begonia_fuchsioides_root_RNA
BEG_Begonia_fuchsioides_root_RNA__04	BEG_Begonia_fuchsioides_root_RNA
BEG_Begonia_fuchsioides_root_RNA__05	BEG_Begonia_fuchsioides_root_RNA
BEG_Begonia_petasitifolia	BEG_Begonia_petasitifolia
BEG_Begonia_petasitifolia__00	BEG_Begonia_petasitifolia
BEG_Begonia_petasitifolia__01	BEG_Begonia_petasitifolia
BEG_Begonia_petasitifolia__02	BEG_Begonia_petasitifolia
BEG_Begonia_petasitifolia__03	BEG_Begonia_petasitifolia
BEG_Begonia_petasitifolia__04	BEG_Begonia_petasitifolia
BEG_Begonia_petasitifolia__05	BEG_Begonia_petasitifolia
BEG_Begonia_sp_RNA	BEG_Begonia_sp_RNA
BEG_Begonia_sp_RNA__00	BEG_Begonia_sp_RNA
BEG_Begonia_sp_RNA__01	BEG_Begonia_sp_RNA
BEG_Begonia_sp_RNA__02	BEG_Begonia_sp_RNA
BEG_Begonia_sp_RNA__03	BEG_Begonia_sp_RNA
BEG_Begonia_sp_RNA__04	BEG_Begonia_sp_RNA
BEG_Begonia_sp_RNA__05	BEG_Begonia_sp_RNA
BEG_Hillebrandia_sandwicensis	BEG_Hillebrandia_sandwicensis
BEG_Hillebrandia_sandwicensis__00	BEG_Hillebrandia_sandwicensis
BEG_Hillebrandia_sandwicensis__01	BEG_Hillebrandia_sandwicensis
BEG_Hillebrandia_sandwicensis__02	BEG_Hillebrandia_sandwicensis
BEKN__ref	BEKN__ref
BERS__ref	BERS__ref
BFJL__ref	BFJL__ref
BHYC__ref	BHYC__ref
BIDT__ref	BIDT__ref
BJKT__ref	BJKT__ref
BKQU__ref	BKQU__ref
BLVL__ref	BLVL__ref
BMSE__ref	BMSE__ref
BNDE__ref	BNDE__ref
BNTL__ref	BNTL__ref
BOLZ__ref	BOLZ__ref
BPKH__ref	BPKH__ref
BRUD__ref	BRUD__ref
BSEY__ref	BSEY__ref
BSVG__ref	BSVG__ref
BVOF__ref	BVOF__ref
BWRK__ref	BWRK__ref
BXAY__ref	BXAY__ref
BXBF__ref	BXBF__ref
BYNZ__ref	BYNZ__ref
BYPY__ref	BYPY__ref
BYQM__ref	BYQM__ref
BZDF__ref	BZDF__ref
CAQZ__ref	CAQZ__ref
CBJR__ref	CBJR__ref
CCID__ref	CCID__ref
CIAC__ref	CIAC__ref
CIEA__ref	CIEA__ref
CJGZ__ref	CJGZ__ref
CKDK__ref	CKDK__ref
CKKR__ref	CKKR__ref
CLMX__ref	CLMX__ref
CLRW__ref	CLRW__ref
CMCY__ref	CMCY__ref
CMFF__ref	CMFF__ref
CNTZ__ref	CNTZ__ref
COAQ__ref	COAQ__ref
COR_Coriaria_nepalensis	COR_Coriaria_nepalensis
COR_Coriaria_nepalensis_RNA	COR_Coriaria_nepalensis_RNA
COR_Coriaria_nepalensis_RNA__00	COR_Coriaria_nepalensis_RNA
COR_Coriaria_nepalensis_RNA__01	COR_Coriaria_nepalensis_RNA
COR_Coriaria_nepalensis_RNA__02	COR_Coriaria_nepalensis_RNA
COR_Coriaria_nepalensis_RNA__03	COR_Coriaria_nepalensis_RNA
COR_Coriaria_nepalensis__00	COR_Coriaria_nepalensis
COR_Coriaria_nepalensis__01	COR_Coriaria_nepalensis
COR_Coriaria_nepalensis__02	COR_Coriaria_nepalensis
COR_Coriaria_nepalensis__03	COR_Coriaria_nepalensis
COR_Coriaria_nepalensis__04	COR_Coriaria_nepalensis
COR_Coriaria_nepalensis__05	COR_Coriaria_nepalensis
CPKP__ref	CPKP__ref
CPLT__ref	CPLT__ref
CPOC__ref	CPOC__ref
CRNC__ref	CRNC__ref
CRN_Corynocarpus_cribbianus	CRN_Corynocarpus_cribbianus
CRN_Corynocarpus_cribbianus__00	CRN_Corynocarpus_cribbianus
CRN_Corynocarpus_cribbianus__01	CRN_Corynocarpus_cribbianus
CRN_Corynocarpus_cribbianus__02	CRN_Corynocarpus_cribbianus
CRN_Corynocarpus_cribbianus__03	CRN_Corynocarpus_cribbianus
CRN_Corynocarpus_cribbianus__04	CRN_Corynocarpus_cribbianus
CRN_Corynocarpus_cribbianus__05	CRN_Corynocarpus_cribbianus
CRN_Corynocarpus_laevigatus_HS5848_WGS	CRN_Corynocarpus_laevigatus_HS5848_WGS
CRN_Corynocarpus_laevigatus_HS5848_WGS__00	CRN_Corynocarpus_laevigatus_HS5848_WGS
CRN_Corynocarpus_laevigatus_HS5848_WGS__01	CRN_Corynocarpus_laevigatus_HS5848_WGS
CRN_Corynocarpus_laevigatus_HS5848_WGS__02	CRN_Corynocarpus_laevigatus_HS5848_WGS
CRN_Corynocarpus_laevigatus_HS5848_WGS__03	CRN_Corynocarpus_laevigatus_HS5848_WGS
CRN_Corynocarpus_laevigatus_HS5848_WGS__04	CRN_Corynocarpus_laevigatus_HS5848_WGS
CRN_Corynocarpus_laevigatus_HS5848_WGS__05	CRN_Corynocarpus_laevigatus_HS5848_WGS
CSSK__ref	CSSK__ref
CSUV__ref	CSUV__ref
CTSS__ref	CTSS__ref
CTYH__ref	CTYH__ref
CUC_Abobra_tenuifolia	CUC_Abobra_tenuifolia
CUC_Abobra_tenuifolia__00	CUC_Abobra_tenuifolia
CUC_Abobra_tenuifolia__01	CUC_Abobra_tenuifolia
CUC_Abobra_tenuifolia__02	CUC_Abobra_tenuifolia
CUC_Abobra_tenuifolia__03	CUC_Abobra_tenuifolia
CUC_Abobra_tenuifolia__04	CUC_Abobra_tenuifolia
CUC_Acanthosicyos_horridus	CUC_Acanthosicyos_horridus
CUC_Acanthosicyos_horridus__00	CUC_Acanthosicyos_horridus
CUC_Acanthosicyos_horridus__01	CUC_Acanthosicyos_horridus
CUC_Acanthosicyos_horridus__02	CUC_Acanthosicyos_horridus
CUC_Acanthosicyos_horridus__03	CUC_Acanthosicyos_horridus
CUC_Acanthosicyos_horridus__04	CUC_Acanthosicyos_horridus
CUC_Actinostemma_biglandulosum	CUC_Actinostemma_biglandulosum
CUC_Actinostemma_biglandulosum_RNA	CUC_Actinostemma_biglandulosum_RNA
CUC_Actinostemma_biglandulosum_RNA__00	CUC_Actinostemma_biglandulosum_RNA
CUC_Actinostemma_biglandulosum_RNA__01	CUC_Actinostemma_biglandulosum_RNA
CUC_Actinostemma_biglandulosum_RNA__02	CUC_Actinostemma_biglandulosum_RNA
CUC_Actinostemma_biglandulosum_RNA__03	CUC_Actinostemma_biglandulosum_RNA
CUC_Actinostemma_biglandulosum__00	CUC_Actinostemma_biglandulosum
CUC_Actinostemma_biglandulosum__01	CUC_Actinostemma_biglandulosum
CUC_Actinostemma_paniculatum_RNA	CUC_Actinostemma_paniculatum_RNA
CUC_Actinostemma_paniculatum_RNA__00	CUC_Actinostemma_paniculatum_RNA
CUC_Actinostemma_paniculatum_RNA__01	CUC_Actinostemma_paniculatum_RNA
CUC_Actinostemma_paniculatum_RNA__02	CUC_Actinostemma_paniculatum_RNA
CUC_Actinostemma_paniculatum_RNA__03	CUC_Actinostemma_paniculatum_RNA
