AALA__ref	AALA__ref
CUC_Cionosicys_macranthus_RNA__02	CUC_Cionosicys_macranthus_RNA
CUC_Cionosicys_macranthus_RNA__03	CUC_Cionosicys_macranthus_RNA
CUC_Cionosicys_macranthus_RNA__04	CUC_Cionosicys_macranthus_RNA
CUC_Cionosicys_macranthus_RNA__05	CUC_Cionosicys_macranthus_RNA
CUC_Cionosicys_macranthus__00	CUC_Cionosicys_macranthus
CUC_Cionosicys_macranthus__01	CUC_Cionosicys_macranthus
CUC_Cionosicys_macranthus__02	CUC_Cionosicys_macranthus
CUC_Citrullus_amarus_WGS	CUC_Citrullus_amarus_WGS
CUC_Citrullus_amarus_WGS__00	CUC_Citrullus_amarus_WGS
CUC_Citrullus_amarus_WGS__01	CUC_Citrullus_amarus_WGS
CUC_Citrullus_amarus_WGS__02	CUC_Citrullus_amarus_WGS
CUC_Citrullus_amarus_WGS__03	CUC_Citrullus_amarus_WGS
CUC_Citrullus_colocynthis_WGS	CUC_Citrullus_colocynthis_WGS
CUC_Citrullus_colocynthis_WGS__00	CUC_Citrullus_colocynthis_WGS
CUC_Citrullus_colocynthis_WGS__01	CUC_Citrullus_colocynthis_WGS
CUC_Citrullus_colocynthis_WGS__02	CUC_Citrullus_colocynthis_WGS
CUC_Citrullus_ecirrhosus	CUC_Citrullus_ecirrhosus
CUC_Citrullus_ecirrhosus_WGS	CUC_Citrullus_ecirrhosus_WGS
CUC_Citrullus_ecirrhosus_WGS__00	CUC_Citrullus_ecirrhosus_WGS
CUC_Citrullus_ecirrhosus_WGS__01	CUC_Citrullus_ecirrhosus_WGS
CUC_Citrullus_ecirrhosus_WGS__02	CUC_Citrullus_ecirrhosus_WGS
CUC_Citrullus_ecirrhosus_WGS__03	CUC_Citrullus_ecirrhosus_WGS
CUC_Citrullus_ecirrhosus__00	CUC_Citrullus_ecirrhosus
CUC_Citrullus_ecirrhosus__01	CUC_Citrullus_ecirrhosus
CUC_Citrullus_ecirrhosus__02	CUC_Citrullus_ecirrhosus
CUC_Citrullus_lanatus_1_WGS	CUC_Citrullus_lanatus_1_WGS
CUC_Citrullus_lanatus_1_WGS__00	CUC_Citrullus_lanatus_1_WGS
CUC_Citrullus_lanatus_1_WGS__01	CUC_Citrullus_lanatus_1_WGS
CUC_Citrullus_lanatus_2_WGS	CUC_Citrullus_lanatus_2_WGS
CUC_Citrullus_lanatus_2_WGS__00	CUC_Citrullus_lanatus_2_WGS
CUC_Citrullus_lanatus_2_WGS__01	CUC_Citrullus_lanatus_2_WGS
CUC_Citrullus_lanatus_3_WGS	CUC_Citrullus_lanatus_3_WGS
CUC_Citrullus_lanatus_3_WGS__00	CUC_Citrullus_lanatus_3_WGS
CUC_Citrullus_lanatus_3_WGS__01	CUC_Citrullus_lanatus_3_WGS
CUC_Citrullus_mucosospermus_WGS	CUC_Citrullus_mucosospermus_WGS
CUC_Citrullus_mucosospermus_WGS__00	CUC_Citrullus_mucosospermus_WGS
CUC_Citrullus_mucosospermus_WGS__01	CUC_Citrullus_mucosospermus_WGS
CUC_Citrullus_mucosospermus_WGS__02	CUC_Citrullus_mucosospermus_WGS
CUC_Citrullus_naudinianus_WGS	CUC_Citrullus_naudinianus_WGS
CUC_Citrullus_naudinianus_WGS__00	CUC_Citrullus_naudinianus_WGS
CUC_Citrullus_naudinianus_WGS__01	CUC_Citrullus_naudinianus_WGS
CUC_Citrullus_naudinianus_WGS__02	CUC_Citrullus_naudinianus_WGS
CUC_Citrullus_naudinianus_WGS__03	CUC_Citrullus_naudinianus_WGS
CUC_Citrullus_naudinianus_WGS__04	CUC_Citrullus_naudinianus_WGS
CUC_Citrullus_naudinianus_WGS__05	CUC_Citrullus_naudinianus_WGS
CUC_Citrullus_rehmii_WGS	CUC_Citrullus_rehmii_WGS
CUC_Citrullus_rehmii_WGS__00	CUC_Citrullus_rehmii_WGS
CUC_Citrullus_rehmii_WGS__01	CUC_Citrullus_rehmii_WGS
CUC_Citrullus_rehmii_WGS__02	CUC_Citrullus_rehmii_WGS
CUC_Coccinia_grandis_RNA	CUC_Coccinia_grandis_RNA
CUC_Coccinia_grandis_RNA__00	CUC_Coccinia_grandis_RNA
CUC_Coccinia_grandis_RNA__01	CUC_Coccinia_grandis_RNA
CUC_Coccinia_grandis_RNA__02	CUC_Coccinia_grandis_RNA
CUC_Coccinia_grandis_RNA__03	CUC_Coccinia_grandis_RNA
CUC_Coccinia_grandis_RNA__04	CUC_Coccinia_grandis_RNA
CUC_Coccinia_grandis_RNA__05	CUC_Coccinia_grandis_RNA
CUC_Coccinia_grandis_XWB13686_RNA	CUC_Coccinia_grandis_XWB13686_RNA
CUC_Coccinia_grandis_XWB13686_RNA__00	CUC_Coccinia_grandis_XWB13686_RNA
CUC_Coccinia_grandis_XWB13686_RNA__01	CUC_Coccinia_grandis_XWB13686_RNA
CUC_Coccinia_grandis_XWB13686_RNA__02	CUC_Coccinia_grandis_XWB13686_RNA
CUC_Coccinia_grandis_XWB13686_RNA__03	CUC_Coccinia_grandis_XWB13686_RNA
CUC_Coccinia_grandis_XWB13686_RNA__04	CUC_Coccinia_grandis_XWB13686_RNA
CUC_Coccinia_grandis_XWB13686_RNA__05	CUC_Coccinia_grandis_XWB13686_RNA
CUC_Coccinia_rehmannii_GJ090_RNA	CUC_Coccinia_rehmannii_GJ090_RNA
CUC_Coccinia_rehmannii_GJ090_RNA__00	CUC_Coccinia_rehmannii_GJ090_RNA
CUC_Coccinia_rehmannii_GJ090_RNA__01	CUC_Coccinia_rehmannii_GJ090_RNA
CUC_Coccinia_rehmannii_GJ090_RNA__02	CUC_Coccinia_rehmannii_GJ090_RNA
CUC_Coccinia_rehmannii_GJ090_RNA__03	CUC_Coccinia_rehmannii_GJ090_RNA
CUC_Coccinia_rehmannii_GJ090_RNA__04	CUC_Coccinia_rehmannii_GJ090_RNA
CUC_Coccinia_rehmannii_GJ090_RNA__05	CUC_Coccinia_rehmannii_GJ090_RNA
CUC_Coccinia_sessilifolia	CUC_Coccinia_sessilifolia
CUC_Coccinia_sessilifolia__00	CUC_Coccinia_sessilifolia
CUC_Coccinia_sessilifolia__01	CUC_Coccinia_sessilifolia
CUC_Coccinia_sessilifolia__02	CUC_Coccinia_sessilifolia
CUC_Coccinia_sessilifolia__03	CUC_Coccinia_sessilifolia
CUC_Coccinia_sessilifolia__04	CUC_Coccinia_sessilifolia
CUC_Coccinia_trilobata_RNA	CUC_Coccinia_trilobata_RNA
CUC_Coccinia_trilobata_RNA__00	CUC_Coccinia_trilobata_RNA
CUC_Coccinia_trilobata_RNA__01	CUC_Coccinia_trilobata_RNA
CUC_Coccinia_trilobata_RNA__02	CUC_Coccinia_trilobata_RNA
CUC_Coccinia_trilobata_RNA__03	CUC_Coccinia_trilobata_RNA
CUC_Coccinia_trilobata_RNA__04	CUC_Coccinia_trilobata_RNA
CUC_Coccinia_trilobata_RNA__05	CUC_Coccinia_trilobata_RNA
CUC_Cogniauxia_podolaena	CUC_Cogniauxia_podolaena
CUC_Cogniauxia_podolaena__00	CUC_Cogniauxia_podolaena
CUC_Cogniauxia_podolaena__01	CUC_Cogniauxia_podolaena
CUC_Cogniauxia_podolaena__02	CUC_Cogniauxia_podolaena
CUC_Cogniauxia_podolaena__03	CUC_Cogniauxia_podolaena
CUC_Cogniauxia_podolaena__04	CUC_Cogniauxia_podolaena
CUC_Cogniauxia_podolaena__05	CUC_Cogniauxia_podolaena
CUC_Corallocarpus_boehmii_SB19_GSK	CUC_Corallocarpus_boehmii_SB19_GSK
CUC_Corallocarpus_boehmii_SB19_GSK__00	CUC_Corallocarpus_boehmii_SB19_GSK
CUC_Corallocarpus_boehmii_SB19_GSK__01	CUC_Corallocarpus_boehmii_SB19_GSK
CUC_Corallocarpus_glomeruliflorus_RNA	CUC_Corallocarpus_glomeruliflorus_RNA
CUC_Corallocarpus_glomeruliflorus_RNA__00	CUC_Corallocarpus_glomeruliflorus_RNA
CUC_Corallocarpus_glomeruliflorus_RNA__01	CUC_Corallocarpus_glomeruliflorus_RNA
CUC_Corallocarpus_glomeruliflorus_RNA__02	CUC_Corallocarpus_glomeruliflorus_RNA
CUC_Corallocarpus_glomeruliflorus_RNA__03	CUC_Corallocarpus_glomeruliflorus_RNA
CUC_Corallocarpus_glomeruliflorus_RNA__04	CUC_Corallocarpus_glomeruliflorus_RNA
CUC_Corallocarpus_welwitschii	CUC_Corallocarpus_welwitschii
CUC_Corallocarpus_welwitschii__00	CUC_Corallocarpus_welwitschii
CUC_Corallocarpus_welwitschii__01	CUC_Corallocarpus_welwitschii
CUC_Corallocarpus_welwitschii__02	CUC_Corallocarpus_welwitschii
CUC_Corallocarpus_welwitschii__03	CUC_Corallocarpus_welwitschii
CUC_Corallocarpus_welwitschii__04	CUC_Corallocarpus_welwitschii
CUC_Corallocarpus_welwitschii__05	CUC_Corallocarpus_welwitschii
CUC_Cucumis_anguria	CUC_Cucumis_anguria
CUC_Cucumis_anguria_WGS	CUC_Cucumis_anguria_WGS
CUC_Cucumis_anguria_WGS__00	CUC_Cucumis_anguria_WGS
CUC_Cucumis_anguria_WGS__01	CUC_Cucumis_anguria_WGS
CUC_Cucumis_anguria_WGS__02	CUC_Cucumis_anguria_WGS
CUC_Cucumis_anguria__00	CUC_Cucumis_anguria
CUC_Cucumis_anguria__01	CUC_Cucumis_anguria
CUC_Cucumis_anguria__02	CUC_Cucumis_anguria
CUC_Cucumis_anguria__03	CUC_Cucumis_anguria
CUC_Cucumis_dipsaceus_WGS	CUC_Cucumis_dipsaceus_WGS
CUC_Cucumis_dipsaceus_WGS__00	CUC_Cucumis_dipsaceus_WGS
CUC_Cucumis_dipsaceus_WGS__01	CUC_Cucumis_dipsaceus_WGS
CUC_Cucumis_dipsaceus_WGS__02	CUC_Cucumis_dipsaceus_WGS
CUC_Cucumis_dipsaceus_WGS__03	CUC_Cucumis_dipsaceus_WGS
CUC_Cucumis_dipsaceus_WGS__04	CUC_Cucumis_dipsaceus_WGS
CUC_Cucumis_dipsaceus_WGS__05	CUC_Cucumis_dipsaceus_WGS
CUC_Cucumis_ficifolius_WGS	CUC_Cucumis_ficifolius_WGS
CUC_Cucumis_ficifolius_WGS__00	CUC_Cucumis_ficifolius_WGS
CUC_Cucumis_ficifolius_WGS__01	CUC_Cucumis_ficifolius_WGS
CUC_Cucumis_ficifolius_WGS__02	CUC_Cucumis_ficifolius_WGS
CUC_Cucumis_ficifolius_WGS__03	CUC_Cucumis_ficifolius_WGS
CUC_Cucumis_ficifolius_WGS__04	CUC_Cucumis_ficifolius_WGS
CUC_Cucumis_ficifolius_WGS__05	CUC_Cucumis_ficifolius_WGS
CUC_Cucumis_hystrix_RNA	CUC_Cucumis_hystrix_RNA
CUC_Cucumis_hystrix_RNA__00	CUC_Cucumis_hystrix_RNA
CUC_Cucumis_hystrix_RNA__01	CUC_Cucumis_hystrix_RNA
CUC_Cucumis_hystrix_RNA__02	CUC_Cucumis_hystrix_RNA
CUC_Cucumis_hystrix_RNA__03	CUC_Cucumis_hystrix_RNA
CUC_Cucumis_hystrix_RNA__04	CUC_Cucumis_hystrix_RNA
CUC_Cucumis_hystrix_RNA__05	CUC_Cucumis_hystrix_RNA
CUC_Cucumis_hystrix_WGS	CUC_Cucumis_hystrix_WGS
CUC_Cucumis_hystrix_WGS__00	CUC_Cucumis_hystrix_WGS
CUC_Cucumis_hystrix_WGS__01	CUC_Cucumis_hystrix_WGS
CUC_Cucumis_hystrix_WGS__02	CUC_Cucumis_hystrix_WGS
CUC_Cucumis_hystrix_WGS__03	CUC_Cucumis_hystrix_WGS
CUC_Cucumis_hystrix_WGS__04	CUC_Cucumis_hystrix_WGS
CUC_Cucumis_hystrix_WGS__05	CUC_Cucumis_hystrix_WGS
CUC_Cucumis_maderaspatanus_RNA	CUC_Cucumis_maderaspatanus_RNA
CUC_Cucumis_maderaspatanus_RNA__00	CUC_Cucumis_maderaspatanus_RNA
CUC_Cucumis_maderaspatanus_RNA__01	CUC_Cucumis_maderaspatanus_RNA
CUC_Cucumis_maderaspatanus_RNA__02	CUC_Cucumis_maderaspatanus_RNA
CUC_Cucumis_maderaspatanus_RNA__03	CUC_Cucumis_maderaspatanus_RNA
CUC_Cucumis_maderaspatanus_RNA__04	CUC_Cucumis_maderaspatanus_RNA
CUC_Cucumis_melo_RNA	CUC_Cucumis_melo_RNA
CUC_Cucumis_melo_RNA__00	CUC_Cucumis_melo_RNA
CUC_Cucumis_melo_RNA__01	CUC_Cucumis_melo_RNA
CUC_Cucumis_melo_RNA__02	CUC_Cucumis_melo_RNA
CUC_Cucumis_melo_RNA__03	CUC_Cucumis_melo_RNA
CUC_Cucumis_melo_RNA__04	CUC_Cucumis_melo_RNA
CUC_Cucumis_melo_subsp_agrestis_WGS	CUC_Cucumis_melo_subsp_agrestis_WGS
CUC_Cucumis_melo_subsp_agrestis_WGS__00	CUC_Cucumis_melo_subsp_agrestis_WGS
CUC_Cucumis_melo_subsp_agrestis_WGS__01	CUC_Cucumis_melo_subsp_agrestis_WGS
CUC_Cucumis_melo_subsp_agrestis_WGS__02	CUC_Cucumis_melo_subsp_agrestis_WGS
CUC_Cucumis_melo_subsp_agrestis_WGS__03	CUC_Cucumis_melo_subsp_agrestis_WGS
CUC_Cucumis_melo_subsp_agrestis_WGS__04	CUC_Cucumis_melo_subsp_agrestis_WGS
CUC_Cucumis_melo_subsp_agrestis_WGS__05	CUC_Cucumis_melo_subsp_agrestis_WGS
CUC_Cucumis_melo_subsp_melo_WGS	CUC_Cucumis_melo_subsp_melo_WGS
CUC_Cucumis_melo_subsp_melo_WGS__00	CUC_Cucumis_melo_subsp_melo_WGS
CUC_Cucumis_melo_subsp_melo_WGS__01	CUC_Cucumis_melo_subsp_melo_WGS
CUC_Cucumis_melo_subsp_melo_WGS__02	CUC_Cucumis_melo_subsp_melo_WGS
CUC_Cucumis_melo_subsp_melo_WGS__03	CUC_Cucumis_melo_subsp_melo_WGS
CUC_Cucumis_melo_subsp_melo_WGS__04	CUC_Cucumis_melo_subsp_melo_WGS
CUC_Cucumis_metuliferus_1_RNA	CUC_Cucumis_metuliferus_1_RNA
CUC_Cucumis_metuliferus_1_RNA__00	CUC_Cucumis_metuliferus_1_RNA
CUC_Cucumis_metuliferus_1_RNA__01	CUC_Cucumis_metuliferus_1_RNA
CUC_Cucumis_metuliferus_1_RNA__02	CUC_Cucumis_metuliferus_1_RNA
CUC_Cucumis_metuliferus_1_RNA__03	CUC_Cucumis_metuliferus_1_RNA
CUC_Cucumis_metuliferus_1_RNA__04	CUC_Cucumis_metuliferus_1_RNA
CUC_Cucumis_metuliferus_2_RNA	CUC_Cucumis_metuliferus_2_RNA
CUC_Cucumis_metuliferus_2_RNA__00	CUC_Cucumis_metuliferus_2_RNA
CUC_Cucumis_metuliferus_2_RNA__01	CUC_Cucumis_metuliferus_2_RNA
CUC_Cucumis_metuliferus_2_RNA__02	CUC_Cucumis_metuliferus_2_RNA
CUC_Cucumis_myriocarpus_WGS	CUC_Cucumis_myriocarpus_WGS
CUC_Cucumis_myriocarpus_WGS__00	CUC_Cucumis_myriocarpus_WGS
CUC_Cucumis_myriocarpus_WGS__01	CUC_Cucumis_myriocarpus_WGS
CUC_Cucumis_myriocarpus_WGS__02	CUC_Cucumis_myriocarpus_WGS
CUC_Cucumis_myriocarpus_WGS__03	CUC_Cucumis_myriocarpus_WGS
CUC_Cucumis_omissus_HS5733_WGS	CUC_Cucumis_omissus_HS5733_WGS
CUC_Cucumis_omissus_HS5733_WGS__00	CUC_Cucumis_omissus_HS5733_WGS
CUC_Cucumis_omissus_HS5733_WGS__01	CUC_Cucumis_omissus_HS5733_WGS
CUC_Cucumis_omissus_HS5733_WGS__02	CUC_Cucumis_omissus_HS5733_WGS
CUC_Cucumis_omissus_HS5733_WGS__03	CUC_Cucumis_omissus_HS5733_WGS
CUC_Cucumis_prophetarum	CUC_Cucumis_prophetarum
CUC_Cucumis_prophetarum_WGS	CUC_Cucumis_prophetarum_WGS
CUC_Cucumis_prophetarum_WGS__00	CUC_Cucumis_prophetarum_WGS
CUC_Cucumis_prophetarum_WGS__01	CUC_Cucumis_prophetarum_WGS
CUC_Cucumis_prophetarum_WGS__02	CUC_Cucumis_prophetarum_WGS
CUC_Cucumis_prophetarum_WGS__03	CUC_Cucumis_prophetarum_WGS
CUC_Cucumis_prophetarum_WGS__04	CUC_Cucumis_prophetarum_WGS
CUC_Cucumis_prophetarum_WGS__05	CUC_Cucumis_prophetarum_WGS
CUC_Cucumis_prophetarum__00	CUC_Cucumis_prophetarum
CUC_Cucumis_prophetarum__01	CUC_Cucumis_prophetarum
CUC_Cucumis_prophetarum__02	CUC_Cucumis_prophetarum
CUC_Cucumis_prophetarum__03	CUC_Cucumis_prophetarum
CUC_Cucumis_prophetarum__04	CUC_Cucumis_prophetarum
CUC_Cucumis_prophetarum__05	CUC_Cucumis_prophetarum
CUC_Cucumis_rigidus	CUC_Cucumis_rigidus
CUC_Cucumis_rigidus__00	CUC_Cucumis_rigidus
CUC_Cucumis_rigidus__01	CUC_Cucumis_rigidus
CUC_Cucumis_rigidus__02	CUC_Cucumis_rigidus
CUC_Cucumis_rigidus__03	CUC_Cucumis_rigidus
CUC_Cucumis_rigidus__04	CUC_Cucumis_rigidus
CUC_Cucumis_rigidus__05	CUC_Cucumis_rigidus
CUC_Cucumis_sativus_var_hardwickii_RNA	CUC_Cucumis_sativus_var_hardwickii_RNA
CUC_Cucumis_sativus_var_hardwickii_RNA__00	CUC_Cucumis_sativus_var_hardwickii_RNA
CUC_Cucumis_sativus_var_hardwickii_RNA__01	CUC_Cucumis_sativus_var_hardwickii_RNA
CUC_Cucumis_sativus_var_hardwickii_RNA__02	CUC_Cucumis_sativus_var_hardwickii_RNA
CUC_Cucumis_sativus_var_hardwickii_RNA__03	CUC_Cucumis_sativus_var_hardwickii_RNA
CUC_Cucumis_sativus_var_sativus_RNA	CUC_Cucumis_sativus_var_sativus_RNA
CUC_Cucumis_sativus_var_sativus_RNA__00	CUC_Cucumis_sativus_var_sativus_RNA
CUC_Cucumis_sativus_var_sativus_RNA__01	CUC_Cucumis_sativus_var_sativus_RNA
CUC_Cucumis_sativus_var_sativus_RNA__02	CUC_Cucumis_sativus_var_sativus_RNA
CUC_Cucumis_sativus_var_sativus_RNA__03	CUC_Cucumis_sativus_var_sativus_RNA
CUC_Cucumis_sativus_var_sativus_RNA__04	CUC_Cucumis_sativus_var_sativus_RNA
CUC_Cucumis_sativus_var_sativus_RNA__05	CUC_Cucumis_sativus_var_sativus_RNA
CUC_Cucumis_zeyherii_WGS	CUC_Cucumis_zeyherii_WGS
CUC_Cucumis_zeyherii_WGS__00	CUC_Cucumis_zeyherii_WGS
CUC_Cucumis_zeyherii_WGS__01	CUC_Cucumis_zeyherii_WGS
CUC_Cucumis_zeyherii_WGS__02	CUC_Cucumis_zeyherii_WGS
CUC_Cucumis_zeyherii_WGS__03	CUC_Cucumis_zeyherii_WGS
CUC_Cucumis_zeyherii_WGS__04	CUC_Cucumis_zeyherii_WGS
CUC_Cucumis_zeyherii_WGS__05	CUC_Cucumis_zeyherii_WGS
CUC_Cucurbita_argyrosperma_RNA	CUC_Cucurbita_argyrosperma_RNA
CUC_Cucurbita_argyrosperma_RNA__00	CUC_Cucurbita_argyrosperma_RNA
CUC_Cucurbita_argyrosperma_RNA__01	CUC_Cucurbita_argyrosperma_RNA
CUC_Cucurbita_argyrosperma_RNA__02	CUC_Cucurbita_argyrosperma_RNA
CUC_Cucurbita_cordata_RNA	CUC_Cucurbita_cordata_RNA
CUC_Cucurbita_cordata_RNA__00	CUC_Cucurbita_cordata_RNA
CUC_Cucurbita_cordata_RNA__01	CUC_Cucurbita_cordata_RNA
CUC_Cucurbita_cordata_RNA__02	CUC_Cucurbita_cordata_RNA
CUC_Cucurbita_digitata_GSK	CUC_Cucurbita_digitata_GSK
CUC_Cucurbita_digitata_GSK__00	CUC_Cucurbita_digitata_GSK
CUC_Cucurbita_digitata_GSK__01	CUC_Cucurbita_digitata_GSK
CUC_Cucurbita_digitata_GSK__02	CUC_Cucurbita_digitata_GSK
CUC_Cucurbita_ecuadorensis	CUC_Cucurbita_ecuadorensis
CUC_Cucurbita_ecuadorensis_1_RNA	CUC_Cucurbita_ecuadorensis_1_RNA
CUC_Cucurbita_ecuadorensis_1_RNA__00	CUC_Cucurbita_ecuadorensis_1_RNA
CUC_Cucurbita_ecuadorensis_1_RNA__01	CUC_Cucurbita_ecuadorensis_1_RNA
CUC_Cucurbita_ecuadorensis_1_RNA__02	CUC_Cucurbita_ecuadorensis_1_RNA
CUC_Cucurbita_ecuadorensis_1_RNA__03	CUC_Cucurbita_ecuadorensis_1_RNA
CUC_Cucurbita_ecuadorensis_1_RNA__04	CUC_Cucurbita_ecuadorensis_1_RNA
CUC_Cucurbita_ecuadorensis_1_RNA__05	CUC_Cucurbita_ecuadorensis_1_RNA
CUC_Cucurbita_ecuadorensis_2_RNA	CUC_Cucurbita_ecuadorensis_2_RNA
CUC_Cucurbita_ecuadorensis_2_RNA__00	CUC_Cucurbita_ecuadorensis_2_RNA
CUC_Cucurbita_ecuadorensis_2_RNA__01	CUC_Cucurbita_ecuadorensis_2_RNA
CUC_Cucurbita_ecuadorensis_2_RNA__02	CUC_Cucurbita_ecuadorensis_2_RNA
CUC_Cucurbita_ecuadorensis__00	CUC_Cucurbita_ecuadorensis
CUC_Cucurbita_ecuadorensis__01	CUC_Cucurbita_ecuadorensis
CUC_Cucurbita_ecuadorensis__02	CUC_Cucurbita_ecuadorensis
CUC_Cucurbita_ecuadorensis__03	CUC_Cucurbita_ecuadorensis
CUC_Cucurbita_ecuadorensis__04	CUC_Cucurbita_ecuadorensis
CUC_Cucurbita_ficifolia_RNA	CUC_Cucurbita_ficifolia_RNA
CUC_Cucurbita_ficifolia_RNA__00	CUC_Cucurbita_ficifolia_RNA
CUC_Cucurbita_ficifolia_RNA__01	CUC_Cucurbita_ficifolia_RNA
CUC_Cucurbita_ficifolia_RNA__02	CUC_Cucurbita_ficifolia_RNA
CUC_Cucurbita_foetidissima_1_RNA	CUC_Cucurbita_foetidissima_1_RNA
CUC_Cucurbita_foetidissima_1_RNA__00	CUC_Cucurbita_foetidissima_1_RNA
CUC_Cucurbita_foetidissima_1_RNA__01	CUC_Cucurbita_foetidissima_1_RNA
CUC_Cucurbita_foetidissima_1_RNA__02	CUC_Cucurbita_foetidissima_1_RNA
CUC_Cucurbita_foetidissima_1_RNA__03	CUC_Cucurbita_foetidissima_1_RNA
CUC_Cucurbita_foetidissima_1_RNA__04	CUC_Cucurbita_foetidissima_1_RNA
CUC_Cucurbita_foetidissima_1_RNA__05	CUC_Cucurbita_foetidissima_1_RNA
CUC_Cucurbita_foetidissima_2_RNA	CUC_Cucurbita_foetidissima_2_RNA
CUC_Cucurbita_foetidissima_2_RNA__00	CUC_Cucurbita_foetidissima_2_RNA
CUC_Cucurbita_foetidissima_2_RNA__01	CUC_Cucurbita_foetidissima_2_RNA
CUC_Cucurbita_foetidissima_2_RNA__02	CUC_Cucurbita_foetidissima_2_RNA
CUC_Cucurbita_foetidissima_2_RNA__03	CUC_Cucurbita_foetidissima_2_RNA
CUC_Cucurbita_foetidissima_2_RNA__04	CUC_Cucurbita_foetidissima_2_RNA
CUC_Cucurbita_lundelliana_RNA	CUC_Cucurbita_lundelliana_RNA
CUC_Cucurbita_lundelliana_RNA__00	CUC_Cucurbita_lundelliana_RNA
CUC_Cucurbita_lundelliana_RNA__01	CUC_Cucurbita_lundelliana_RNA
CUC_Cucurbita_lundelliana_RNA__02	CUC_Cucurbita_lundelliana_RNA
CUC_Cucurbita_maxima_RNA	CUC_Cucurbita_maxima_RNA
CUC_Cucurbita_maxima_RNA__00	CUC_Cucurbita_maxima_RNA
CUC_Cucurbita_maxima_RNA__01	CUC_Cucurbita_maxima_RNA
CUC_Cucurbita_maxima_RNA__02	CUC_Cucurbita_maxima_RNA
CUC_Cucurbita_moschata_RNA	CUC_Cucurbita_moschata_RNA
CUC_Cucurbita_moschata_RNA__00	CUC_Cucurbita_moschata_RNA
CUC_Cucurbita_moschata_RNA__01	CUC_Cucurbita_moschata_RNA
CUC_Cucurbita_moschata_RNA__02	CUC_Cucurbita_moschata_RNA
CUC_Cucurbita_moschata_RNA__03	CUC_Cucurbita_moschata_RNA
CUC_Cucurbita_moschata_RNA__04	CUC_Cucurbita_moschata_RNA
CUC_Cucurbita_moschata_RNA__05	CUC_Cucurbita_moschata_RNA
CUC_Cucurbita_okeechobeensis_RNA	CUC_Cucurbita_okeechobeensis_RNA
CUC_Cucurbita_okeechobeensis_RNA__00	CUC_Cucurbita_okeechobeensis_RNA
CUC_Cucurbita_okeechobeensis_RNA__01	CUC_Cucurbita_okeechobeensis_RNA
CUC_Cucurbita_okeechobeensis_RNA__02	CUC_Cucurbita_okeechobeensis_RNA
CUC_Cucurbita_okeechobeensis_RNA__03	CUC_Cucurbita_okeechobeensis_RNA
CUC_Cucurbita_palmata_RNA	CUC_Cucurbita_palmata_RNA
CUC_Cucurbita_palmata_RNA__00	CUC_Cucurbita_palmata_RNA
CUC_Cucurbita_palmata_RNA__01	CUC_Cucurbita_palmata_RNA
CUC_Cucurbita_palmata_RNA__02	CUC_Cucurbita_palmata_RNA
CUC_Cucurbita_palmata_RNA__03	CUC_Cucurbita_palmata_RNA
CUC_Cucurbita_palmata_RNA__04	CUC_Cucurbita_palmata_RNA
CUC_Cucurbita_palmata_RNA__05	CUC_Cucurbita_palmata_RNA
CUC_Cucurbita_pedatifolia_RNA	CUC_Cucurbita_pedatifolia_RNA
CUC_Cucurbita_pedatifolia_RNA__00	CUC_Cucurbita_pedatifolia_RNA
CUC_Cucurbita_pedatifolia_RNA__01	CUC_Cucurbita_pedatifolia_RNA
CUC_Cucurbita_pedatifolia_RNA__02	CUC_Cucurbita_pedatifolia_RNA
CUC_Cucurbita_pedatifolia_RNA__03	CUC_Cucurbita_pedatifolia_RNA
CUC_Cucurbita_pedatifolia_RNA__04	CUC_Cucurbita_pedatifolia_RNA
CUC_Cucurbita_pedatifolia_RNA__05	CUC_Cucurbita_pedatifolia_RNA
CUC_Cucurbita_pepo_subsp_pepo_RNA	CUC_Cucurbita_pepo_subsp_pepo_RNA
CUC_Cucurbita_pepo_subsp_pepo_RNA__00	CUC_Cucurbita_pepo_subsp_pepo_RNA
CUC_Cucurbita_pepo_subsp_pepo_RNA__01	CUC_Cucurbita_pepo_subsp_pepo_RNA
CUC_Cucurbita_pepo_subsp_pepo_RNA__02	CUC_Cucurbita_pepo_subsp_pepo_RNA
CUC_Cucurbita_pepo_subsp_pepo_RNA__03	CUC_Cucurbita_pepo_subsp_pepo_RNA
CUC_Cucurbita_pepo_subsp_pepo_RNA__04	CUC_Cucurbita_pepo_subsp_pepo_RNA
CUC_Cucurbita_pepo_subsp_pepo_RNA__05	CUC_Cucurbita_pepo_subsp_pepo_RNA
CUC_Cucurbita_pepo_subsp_texana_RNA	CUC_Cucurbita_pepo_subsp_texana_RNA
CUC_Cucurbita_pepo_subsp_texana_RNA__00	CUC_Cucurbita_pepo_subsp_texana_RNA
CUC_Cucurbita_pepo_subsp_texana_RNA__01	CUC_Cucurbita_pepo_subsp_texana_RNA
CUC_Cucurbita_pepo_subsp_texana_RNA__02	CUC_Cucurbita_pepo_subsp_texana_RNA
CUC_Cucurbita_pepo_subsp_texana_RNA__03	CUC_Cucurbita_pepo_subsp_texana_RNA
CUC_Cucurbita_pepo_subsp_texana_RNA__04	CUC_Cucurbita_pepo_subsp_texana_RNA
CUC_Cucurbita_pepo_subsp_texana_RNA__05	CUC_Cucurbita_pepo_subsp_texana_RNA
